scenario=phase01-final-tracking
timestamp_utc=20260620T190834Z
duration_seconds=600
sample_seconds=5
nano_cpus=3000000000 memory=4294967296 oom_killed=false
cgroup_start
usage_usec 66804879
user_usec 58669314
system_usec 8135565
nice_usec 988
core_sched.force_idle_usec 0
nr_periods 418
nr_throttled 190
throttled_usec 14520517
nr_bursts 0
burst_usec 0
176099328
177917952
low 0
high 0
max 0
oom 0
oom_kill 0
oom_group_kill 0
sock_throttled 0
samples_begin
sample_utc=2026-06-20T19:13:57Z	cpu=283.77%	memory=160.5MB / 4.295GB
sample_utc=2026-06-20T19:14:02Z	cpu=283.99%	memory=119.7MB / 4.295GB
sample_utc=2026-06-20T19:14:07Z	cpu=284.21%	memory=137.7MB / 4.295GB
sample_utc=2026-06-20T19:14:12Z	cpu=284.42%	memory=119.5MB / 4.295GB
sample_utc=2026-06-20T19:14:17Z	cpu=284.62%	memory=119.1MB / 4.295GB
sample_utc=2026-06-20T19:14:22Z	cpu=284.82%	memory=135.7MB / 4.295GB
sample_utc=2026-06-20T19:14:27Z	cpu=285.01%	memory=146.2MB / 4.295GB
sample_utc=2026-06-20T19:14:32Z	cpu=285.20%	memory=132.4MB / 4.295GB
sample_utc=2026-06-20T19:14:37Z	cpu=285.39%	memory=154.5MB / 4.295GB
sample_utc=2026-06-20T19:14:43Z	cpu=285.57%	memory=120.2MB / 4.295GB
sample_utc=2026-06-20T19:14:48Z	cpu=285.74%	memory=137MB / 4.295GB
sample_utc=2026-06-20T19:14:53Z	cpu=285.91%	memory=120.8MB / 4.295GB
sample_utc=2026-06-20T19:14:58Z	cpu=286.08%	memory=138MB / 4.295GB
sample_utc=2026-06-20T19:15:03Z	cpu=286.25%	memory=120MB / 4.295GB
sample_utc=2026-06-20T19:15:08Z	cpu=286.40%	memory=160.6MB / 4.295GB
sample_utc=2026-06-20T19:15:13Z	cpu=286.56%	memory=161.2MB / 4.295GB
sample_utc=2026-06-20T19:15:18Z	cpu=286.70%	memory=119.8MB / 4.295GB
sample_utc=2026-06-20T19:15:23Z	cpu=286.86%	memory=147.9MB / 4.295GB
sample_utc=2026-06-20T19:15:28Z	cpu=287.00%	memory=119.6MB / 4.295GB
sample_utc=2026-06-20T19:15:33Z	cpu=287.15%	memory=119.4MB / 4.295GB
sample_utc=2026-06-20T19:15:38Z	cpu=287.28%	memory=147.6MB / 4.295GB
sample_utc=2026-06-20T19:15:43Z	cpu=287.42%	memory=147.5MB / 4.295GB
sample_utc=2026-06-20T19:15:48Z	cpu=287.54%	memory=119.3MB / 4.295GB
sample_utc=2026-06-20T19:15:53Z	cpu=287.69%	memory=120.5MB / 4.295GB
